fold,session_date,side,gate_quantile,queue_ahead_fraction,n_fills,gate_threshold,mean_markout,mean_cross_out,sum_markout
2,2026-07-31,passive_buy,0.7,0.25,1395,0.0001522447897470864,0.0033512544802864917,-0.009505376344086219,4.674999999999656
2,2026-07-31,passive_buy,0.7,0.5,862,0.0001522447897470864,0.0037877030162410197,-0.009187935034802886,3.264999999999759
2,2026-07-31,passive_buy,0.7,1.0,230,0.0001522447897470864,0.0033695652173908967,-0.008000000000000354,0.7749999999999062
2,2026-07-31,passive_buy,0.9,0.0,1529,0.0004479765376182054,0.004395029431000672,-0.007854807063440146,6.720000000000027
2,2026-07-31,passive_buy,0.9,0.25,629,0.0004479765376182054,0.0044753577106518925,-0.007615262321144639,2.8150000000000404
2,2026-07-31,passive_buy,0.9,0.5,396,0.0004479765376182054,0.003989898989899094,-0.007853535353535154,1.580000000000041
2,2026-07-31,passive_buy,0.9,1.0,109,0.0004479765376182054,0.005917431192660123,-0.004495412844037433,0.6449999999999534
2,2026-07-31,passive_sell,0.0,0.0,7608,-inf,0.004497239747634033,-0.008826235541535244,34.21499999999972
2,2026-07-31,passive_sell,0.0,0.25,3498,-inf,0.0025700400228703115,-0.010763293310462977,8.99000000000035
2,2026-07-31,passive_sell,0.0,0.5,2219,-inf,0.0034114465975665195,-0.00970256872465069,7.570000000000107
2,2026-07-31,passive_sell,0.0,1.0,771,-inf,0.002594033722438281,-0.00941634241245147,1.9999999999999147
2,2026-07-31,passive_sell,0.3,0.0,4437,-0.00015224478974708647,0.005273833671399627,-0.008965517241379287,23.400000000000148
2,2026-07-31,passive_sell,0.3,0.25,1908,-0.00015224478974708647,0.004019916142557764,-0.010555555555555407,7.670000000000215
2,2026-07-31,passive_sell,0.3,0.5,1203,-0.00015224478974708647,0.004925187032418997,-0.009551122194513605,5.925000000000054
2,2026-07-31,passive_sell,0.3,1.0,405,-0.00015224478974708647,0.0032098765432098343,-0.010074074074074053,1.299999999999983
2,2026-07-31,passive_sell,0.5,0.0,3220,4.070215200725618e-05,0.0050543478260870025,-0.009586956521739104,16.275000000000148
2,2026-07-31,passive_sell,0.5,0.25,1377,4.070215200725618e-05,0.003790849673202696,-0.011147421931735565,5.2200000000001125
2,2026-07-31,passive_sell,0.5,0.5,871,4.070215200725618e-05,0.0051320321469575676,-0.009758897818599278,4.4700000000000415
2,2026-07-31,passive_sell,0.5,1.0,294,4.070215200725618e-05,0.003248299319727692,-0.01044217687074859,0.9549999999999415
2,2026-07-31,passive_sell,0.7,0.0,1983,0.0002488711904523378,0.004548663640948228,-0.01041855774079661,9.020000000000337
2,2026-07-31,passive_sell,0.7,0.25,844,0.0002488711904523378,0.0029798578199054667,-0.012381516587677392,2.5150000000002137
2,2026-07-31,passive_sell,0.7,0.5,534,0.0002488711904523378,0.004044943820224979,-0.011161048689138272,2.1600000000001387
2,2026-07-31,passive_sell,0.7,1.0,174,0.0002488711904523378,0.00402298850574698,-0.00994252873563237,0.6999999999999744
