fold,session_date,side,gate_quantile,queue_ahead_fraction,n_fills,gate_threshold,mean_markout,mean_cross_out,sum_markout,n_unwind_1000,mean_unwind_1000,frac_passive_exit_1000,n_unwind_5000,mean_unwind_5000,frac_passive_exit_5000
2,2026-07-31,passive_buy,0.0,0.5,12733,-inf,-0.005349485588628101,-0.019348935836016844,-68.11500000000161,12733,-0.012161313123380115,0.5361658682164454,12733,-0.008530589806015745,0.8920914160056546
2,2026-07-31,passive_buy,0.0,1.0,2520,-inf,-0.003315476190476102,-0.016357142857142782,-8.354999999999777,2520,-0.013448412698412456,0.21626984126984128,2520,-0.008357142857142588,0.5543650793650794
2,2026-07-31,passive_buy,0.3,0.0,14641,-0.00024887119045233783,-0.0029048562256676924,-0.01624001092821536,-42.53000000000068,14641,-0.007237210573048221,0.63766136192883,14641,-0.004124035243494206,0.9491837989208387
2,2026-07-31,passive_buy,0.3,0.25,10744,-0.00024887119045233783,-0.0051535740878629974,-0.01867926284437828,-55.37000000000005,10744,-0.011165301563663415,0.5775316455696202,10744,-0.007900223380491395,0.9169769173492182
2,2026-07-31,passive_buy,0.3,0.5,8636,-0.00024887119045233783,-0.005544233441408131,-0.019138490041686076,-47.88000000000062,8636,-0.012555581287633127,0.5223483094025012,8636,-0.009049328392774373,0.8861741547012506
2,2026-07-31,passive_buy,0.3,1.0,1683,-0.00024887119045233783,-0.004087938205585185,-0.01673796791443837,-6.8799999999998676,1683,-0.013606654783125163,0.22578728461081402,1683,-0.007712418300653319,0.5656565656565656
2,2026-07-31,passive_buy,0.5,0.0,10789,-4.070215200725618e-05,-0.0020752618407637964,-0.015165446287885876,-22.390000000000597,10789,-0.006570581147464926,0.64352581332839,10789,-0.003774214477708676,0.9475391602558161
2,2026-07-31,passive_buy,0.5,0.25,7906,-4.070215200725618e-05,-0.004328358208955256,-0.017603086263597297,-34.220000000000255,7906,-0.010277004806476042,0.5846192764988616,7906,-0.0073248165949910665,0.913862888945105
2,2026-07-31,passive_buy,0.5,0.5,6427,-4.070215200725618e-05,-0.004689590788859583,-0.018033297028162535,-30.14000000000054,6427,-0.011545044344172943,0.5305741403454177,6427,-0.008290026450910142,0.8845495565582698
2,2026-07-31,passive_buy,0.5,1.0,1245,-4.070215200725618e-05,-0.003670682730923518,-0.016008032128513792,-4.56999999999978,1245,-0.01315662650602375,0.25542168674698795,1245,-0.008032128514055905,0.5927710843373494
