feature,target,n,pearson,spearman,slope,slope_se_hac,t_stat_hac,p_value_hac,hac_lag,directional_accuracy,pct_target_unchanged,cond_mean_pos,cond_mean_neg,cond_mean_se_pos,cond_mean_se_neg,ci95_slope_low,ci95_slope_high,p_value_fdr
OFI12w_ref,ms30000,2155694,-0.0018755994428959826,-0.002822487897511389,-2.5232721802351666e-07,1.3651788066541423e-07,-1.8483089306223155,0.06455766453441533,36,0.4992731514418713,2.0053866643410427,-0.0008234289302136583,-0.0007086559346809332,0.0001350638327773803,0.00013569036762063277,-5.198973473734655e-07,1.52429113264322e-08,0.07694980690822661
OFI12w_ref,ev1,2158685,-0.00521661560101131,-0.007207020972978893,-9.647385985376042e-09,1.3872055412279992e-09,-6.954546892045906,3.5369698094924015e-12,36,0.49395195616108584,88.28666526149021,2.097628711421109e-06,1.3473025947357298e-05,1.8619332969443735e-06,1.8603667967025125e-06,-1.2366258885337313e-08,-6.92851308541477e-09,6.81246535759828e-12
OFI12w_ref,ev5,2158685,-0.013349236119091936,-0.01765730495563299,-5.759047510200682e-08,8.357138411607069e-09,-6.891171626644416,5.533472904771392e-12,36,0.4906950372770067,59.42747552329312,-1.9385777431917537e-05,5.784954265446852e-05,4.343359228581386e-06,4.339602325119212e-06,-7.397016540257295e-08,-4.121078480144069e-08,1.0276449680289728e-11
OFI12w_ref,ev10,2158684,-0.009645527169192538,-0.009176403846984468,-5.8198431922017907e-08,9.175342530727738e-09,-6.3429165425829535,2.254555810376401e-10,36,0.49764915765853357,42.519933440929755,1.2539682100653938e-06,3.261620309874667e-05,6.067444319073098e-06,6.076955892265448e-06,-7.618177282806287e-08,-4.021509101597294e-08,3.7416032597736014e-10
OFI12w_ref,ev25,2158677,0.001792462935732531,0.008480910340461816,1.715014368855069e-08,8.447493632016121e-09,2.0302049857192435,0.042335707272105345,36,0.5067214062156231,24.32262909180021,0.00011427728423178017,-0.00011612897204112997,9.617417057525913e-06,9.63851095746851e-06,5.93360410167641e-10,3.370692696693374e-08,0.052162047133871174
OFI12w_ref,ev50,2158662,0.006417784781123434,0.013910928671747641,8.750966222159564e-08,1.5451207763917333e-08,5.663613068873095,1.4821842537667603e-08,36,0.5079882341890088,15.073642839870253,0.00021387211285785253,-0.00024131848028486849,1.3712988304115971e-05,1.3726432670585561e-05,5.7225851486672e-08,1.1779347295651928e-07,2.2232763806501403e-08
nOFI_L1,ms100,1446981,0.017734608326568174,0.018973492182721038,4.366037627411239e-05,3.6110689236462184e-06,12.090706989338502,1.1826461251436715e-33,33,0.509727248506916,49.971837916323715,0.00036068260648639054,-0.00041655083198406277,1.3338131479249497e-05,1.3326139119207559e-05,3.658281123807399e-05,5.0737941310150797e-05,3.2945142057573704e-33
nOFI_L1,ms250,1864457,0.01320167330876233,0.011926474373279249,4.407027183878003e-05,3.521841660874496e-06,12.513416582117749,6.30527084344863e-36,35,0.5039983133292171,39.176178372577105,0.00037920129416648177,-0.00042176312447284687,1.5667893113855896e-05,1.5695514024892788e-05,3.7167589024213294e-05,5.097295465334677e-05,1.891581253034589e-35
nOFI_L1,ms500,2067545,0.007986103412395957,0.0069006021871049405,3.403721762260665e-05,4.1828758958475095e-06,8.13727647439806,4.042688267541908e-16,36,0.5010102567320889,28.77069181081911,0.00032244307054928115,-0.0003880078986380445,1.955887804252122e-05,1.95612503258987e-05,2.5838931514944816e-05,4.223550373026848e-05,8.759157913007468e-16
nOFI_L1,ms1000,2144991,0.0053430540629413525,0.0050615948988139495,3.110607119599479e-05,5.606180998468328e-06,5.548531380719481,2.8807918356694302e-08,36,0.5002238379988307,18.60543937014188,0.00029421581606964807,-0.00036802564302847705,2.6096041064062858e-05,2.611965857962201e-05,2.0118158348184065e-05,4.209398404380551e-05,4.08548660331301e-08
nOFI_L1,ms2000,2157802,0.004000689226686044,0.00414441391082107,3.248837171384888e-05,7.311766810616819e-06,4.443299759871331,8.858960416126707e-06,36,0.5001383694584863,11.003187502838536,0.0002725632287560698,-0.00039921119445290984,3.622340884875725e-05,3.620121280896066e-05,1.815757210168462e-05,4.6819171326013144e-05,1.21227879378576e-05
nOFI_L1,ms5000,2158188,0.0011379906862981303,0.0017327100808816576,1.4375712119266764e-05,1.2020218185911917e-05,1.195960996458081,0.23171178007629123,36,0.5000769320295656,5.612161683782877,8.518151980325625e-05,-0.00038379374365736903,5.640186938925526e-05,5.638614616855522e-05,-9.183482611433977e-06,3.793490684996751e-05,0.2581931263707245
nOFI_L1,ms10000,2157691,0.00013707367723684615,-0.0008424317213874692,2.4265430176868464e-06,1.520748579620461e-05,0.15956240566027344,0.8732257954050748,36,0.49908288371913134,3.6958952880648805,-0.00016904993178314126,-0.00041002401505079453,7.903904953641544e-05,7.904849999614207e-05,-2.7379581438278617e-05,3.223266747365231e-05,0.8845663901505952
nOFI_L1,ms30000,2155694,-0.00030294853966519327,-0.0009624592933995397,-9.188328920495698e-06,2.957602137772196e-05,-0.3106681863374895,0.7560528849051824,36,0.5000178334583261,2.0053866643410427,-0.0006650360328934642,-0.0008340075360885726,0.00013556852524419831,0.00013553427157992105,-6.715626562681745e-05,4.877960778582605e-05,0.7759490134553189
nOFI_L1,ev1,2158685,-0.0016259677335223658,0.004468904756359589,-6.78849621350342e-07,3.3094553430834687e-07,-2.05124273022475,0.04024331455338537,36,0.5102087826111131,88.28666526149021,2.179421260590437e-05,-6.269859229740278e-06,1.8647948095470478e-06,1.8643825990261547e-06,-1.3274909494390668e-06,-3.02082932616173e-08,0.050628686051033205
nOFI_L1,ev5,2158685,-0.0016008208042461924,-0.00019461005749583427,-1.5591137601476232e-06,7.696818248280375e-07,-2.025660097269363,0.042799628417535325,36,0.5027983181425726,59.42747552329312,4.2624940361210575e-05,-4.8017490148742365e-06,4.350721009352046e-06,4.34713549946777e-06,-3.0676624163656433e-06,-5.0565103929602916e-08,0.052162047133871174
nOFI_L1,ev10,2158684,0.0019694339614999257,0.005824762019763573,2.682671990181543e-06,1.0635544660045855e-06,2.522364463626799,0.011656886201142339,36,0.505954442886881,42.519933440929755,7.3363880772349e-05,-4.038705743958227e-05,6.078616385837942e-06,6.085168602495148e-06,5.981435412158262e-07,4.7672004391472595e-06,0.015153952061485041
nOFI_L1,ev25,2158677,0.007537540770648059,0.018167756072367695,1.6281091767385495e-05,2.2427469032167224e-06,7.2594423133675425,3.886895127718176e-13,36,0.5107786857276712,24.32262909180021,0.00017822682926151175,-0.0001805127744768615,9.638816865240658e-06,9.645383810559965e-06,1.188538861064198e-05,2.067679492412901e-05,7.978363683210993e-13
nOFI_L1,ev50,2158662,0.008509099570311205,0.01975894113777682,2.6193237135705506e-05,3.767290120243419e-06,6.952805942647459,3.5809112777119163e-12,36,0.5102354240679579,15.073642839870253,0.00026434495332607934,-0.0002922320201236254,1.3742350586569302e-05,1.3737045955828382e-05,1.8809484180714835e-05,3.3576990090696175e-05,6.81246535759828e-12
