fold,model,horizon,test_day,r2_in_sample,sigma_resid,oos_r2,oos_corr,dir_acc,pct_unchanged,n_oos,chosen_z_threshold,bt_trade_count,bt_gross_pnl,bt_net_pnl,bt_total_costs,bt_hit_rate,bt_avg_pnl,bt_sharpe_like,bt_max_drawdown,bt_turnover,bt_rows_total,bt_rows_predictable,bt_blocked_overlap,bt_pass_cost_gate,bt_pass_z_gate,bt_signals,bt_drop_no_execution,bt_drop_no_exit,bt_drop_no_depth,bt_longs,bt_shorts,bt_mean_abs_prediction,bt_max_abs_prediction,bt_mean_cost_threshold,bt_mean_pred_over_cost,bt_time_in_market_frac,bt_net_per_trade,bt_net_per_trade_ticks,bt_net_per_trade_bps,bt_gross_per_trade,bt_gross_per_trade_ticks,bt_cost_per_trade,bt_cost_per_trade_ticks,beta_1,beta_1_t,beta_1_name
4,M4_ofi_intensity,ms1000,2026-08-04,0.00012448046275637115,0.027825103247685844,0.00047576102234725415,0.030503899531296858,0.5015719231286775,22.885281160678066,106007,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,106722,106722,0,0,0,0,0,0,0,0,0,0.00023242738755627757,0.010875457472809831,0.02055995908083813,0.01130485652439356,0.0,,,,,,,,0.0002051249540273185,5.661826651490449,OFI1_ev50
4,M5_full,ms1000,2026-08-04,0.0004443075436464383,0.027820652727031714,0.0008519697078226418,0.033335291679456536,0.5240559286579324,22.885281160678066,106007,1.0,1,0.060000000000002274,0.04000000000000625,0.01999999999999602,1.0,0.04000000000000625,,0.0,99.05,106722,106716,6,7,1,1,0,0,0,1,0,0.0002755484955056371,0.03767202269640238,0.02055961573736631,0.013402414666964728,5.081121065549088e-05,0.04000000000000625,4.000000000000625,4.038364462393362,0.060000000000002274,6.000000000000227,0.01999999999999602,1.999999999999602,9.89810076037892e-05,2.514779422097837,OFI1_ev50
5,M0_constant,ms1000,2026-08-05,2.4175106361212784e-12,0.02753542489276603,-1.7256906285734175e-05,1.1436776640686034e-16,0.49814872129944865,19.078141812919743,107804,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,108394,108394,0,0,0,0,0,0,0,0,0,8.781263438824409e-05,8.78126343882585e-05,0.025102311427415903,0.0034981891863686337,0.0,,,,,,,,,,
5,M1_ofi,ms1000,2026-08-05,4.497902576194868e-05,0.027534805627508735,7.963915058251114e-05,0.009993095996363305,0.4969336405424304,19.078141812919743,107804,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,108394,108394,0,0,0,0,0,0,0,0,0,0.00015686938954251136,0.00545428911088059,0.025102311427415903,0.00624920099474122,0.0,,,,,,,,0.0001846701085743536,5.259104273728141,OFI1_ev50
5,M1N_ofi_normalized,ms1000,2026-08-05,1.6971817473954154e-05,0.027535191228671443,3.471555301515217e-05,0.008607046734480662,0.4976902002590644,19.078141812919743,107804,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,108394,108394,0,0,0,0,0,0,0,0,0,9.67993451105807e-05,0.006988771496466666,0.025102311427415903,0.0038561925020522093,0.0,,,,,,,,0.00011343726803391482,3.206999593723219,nOFI_L1
5,M2_ofi_spread_depth,ms1000,2026-08-05,0.000300711286786548,0.027531284474949187,0.0006634657631060525,0.029681278797258605,0.5171429553973658,19.078141812919743,107804,1.0,0,0.0,0.0,0.0,,,,0.0,0.0,108394,108394,0,7,0,0,0,0,0,0,0,0.0002424543985394009,0.024179541249762206,0.025102311427415903,0.009658648337642737,0.0,,,,,,,,0.0001748737929345342,4.99666567014792,OFI1_ev50
5,M3_ofi_signedvol,ms1000,2026-08-05,0.00012909715935638388,0.027533647462831302,0.00022312671668245354,0.017240393354149685,0.49914600456228436,19.078141812919743,107804,0.5,1,0.0799999999999983,0.05000000000001137,0.029999999999986926,1.0,0.05000000000001137,,0.0,99.87,108394,108388,6,1,2,1,0,0,0,0,1,0.00013895949707165795,0.025507451554119015,0.02510204030766637,0.005535784954867536,5.075837359471033e-05,0.05000000000001137,5.000000000001137,5.006508461000437,0.0799999999999983,7.9999999999998295,0.029999999999986926,2.9999999999986926,8.049629233231134e-05,2.1006647893763937,OFI1_ev50
5,M4_ofi_intensity,ms1000,2026-08-05,8.667483201518777e-05,0.027534231552743937,4.3956704628755894e-05,0.008127069435574888,0.4948359067826725,19.078141812919743,107804,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,108394,108394,0,0,0,0,0,0,0,0,0,0.00019038091302399143,0.0056859877018174045,0.025102311427415903,0.007584198513929031,0.0,,,,,,,,0.00017878289804923122,5.083357325357167,OFI1_ev50
5,M5_full,ms1000,2026-08-05,0.00042253594452457133,0.027529606924743374,0.0007826218228322857,0.03200296627662399,0.5196189690154407,19.078141812919743,107804,1.0,0,0.0,0.0,0.0,,,,0.0,0.0,108394,108394,0,8,0,0,0,0,0,0,0,0.00025355557208259975,0.02462281678837912,0.025102311427415903,0.010100885442990514,0.0,,,,,,,,7.233150835861902e-05,1.8983424253786427,OFI1_ev50
6,M0_constant,ms1000,2026-08-06,1.3793410857942945e-12,0.02751278470948225,-6.639507556549518e-05,,0.49837898137281106,18.35121775348912,105399,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,106377,106377,0,0,0,0,0,0,0,0,0,6.865157892570949e-05,6.865157892581328e-05,0.025856904621551317,0.002655057901574556,0.0,,,,,,,,,,
6,M1_ofi,ms1000,2026-08-06,4.2643726617885847e-05,0.02751219807939399,-7.835843053372038e-05,0.0025684852521641374,0.49325447087395563,18.35121775348912,105399,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,106377,106377,0,0,0,0,0,0,0,0,0,0.00015449521828163804,0.004988842137419449,0.025856904621551317,0.0059750082441371866,0.0,,,,,,,,0.00017966435501682616,5.142273385530851,OFI1_ev50
6,M1N_ofi_normalized,ms1000,2026-08-06,1.799129462487503e-05,0.027512537213061433,-7.586056671549102e-05,0.001090882890286476,0.4965778495648233,18.35121775348912,105399,0.5,1,0.0350000000000108,0.010000000000005116,0.025000000000005684,1.0,0.010000000000005116,,0.0,100.74,106377,106372,5,1,1,1,0,0,0,1,0,8.213330329012176e-05,0.01875537426794653,0.025857179924500807,0.0031764215405523347,5.0241920685098746e-05,0.010000000000005116,1.0000000000005116,0.9926543577531385,0.0350000000000108,3.50000000000108,0.025000000000005684,2.5000000000005684,0.00011669857562730193,3.530933509842006,nOFI_L1
6,M2_ofi_spread_depth,ms1000,2026-08-06,0.00029532973806956075,0.02750872173772991,0.0003336419383324074,0.02066632613647927,0.5165413621204551,18.35121775348912,105399,1.0,0,0.0,0.0,0.0,,,,0.0,0.0,106377,106377,0,9,0,0,0,0,0,0,0,0.0002270420242249559,0.024519268343914193,0.025856904621551317,0.008780711672491531,0.0,,,,,,,,0.00017034122924992312,4.891106514181678,OFI1_ev50
6,M3_ofi_signedvol,ms1000,2026-08-06,0.00014881432303692765,0.027510737485100495,5.002273885901243e-05,0.011513004919255389,0.49829763993632126,18.35121775348912,105399,0.5,1,-0.030000000000001137,-0.07000000000000739,0.04000000000000625,0.0,-0.07000000000000739,,0.0,97.08,106377,106372,5,2,2,1,0,0,0,0,1,0.00012020809996097701,0.015354738200897571,0.025855863788687497,0.004649162021559329,4.8099418405801e-05,-0.07000000000000739,-7.000000000000739,-7.2105480016488865,-0.030000000000001137,-3.0000000000001137,0.04000000000000625,4.000000000000625,6.277644600589069e-05,1.640481573532899,OFI1_ev50
6,M4_ofi_intensity,ms1000,2026-08-06,9.388354036321545e-05,0.02751149318035095,6.9841545885518386e-06,0.009491824195516217,0.4917438441962885,18.35121775348912,105399,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,106377,106377,0,0,0,0,0,0,0,0,0,0.00018903550682165482,0.0063836976353271015,0.025856904621551317,0.007310832815777057,0.0,,,,,,,,0.0001729789934841447,4.941593855105671,OFI1_ev50
6,M5_full,ms1000,2026-08-06,0.00044425977079032286,0.02750667261885379,0.0005347519071078333,0.027738816850126094,0.523606446889852,18.35121775348912,105399,1.0,0,0.0,0.0,0.0,,,,0.0,0.0,106377,106377,0,11,0,0,0,0,0,0,0,0.00022755081248248337,0.024866185437532686,0.025856904621551317,0.008800388747724404,0.0,,,,,,,,5.5462178395399736e-05,1.456709287999591,OFI1_ev50
7,M0_constant,ms1000,2026-08-07,-1.886935052652916e-12,0.027496473531916255,-1.2498930479498682e-06,1.6035596382351973e-16,0.49823662667970964,23.341358487587325,101348,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,102888,102888,0,0,0,0,0,0,0,0,0,4.997185402667201e-05,4.9971854026729455e-05,0.02428718558391696,0.002057539925900822,0.0,,,,,,,,,,
7,M1_ofi,ms1000,2026-08-07,4.937312495956192e-05,0.027495794730125322,0.0001396693868395138,0.012454496673724351,0.4993178190804716,23.341358487587325,101348,0.5,0,0.0,0.0,0.0,,,,0.0,0.0,102888,102888,0,0,0,0,0,0,0,0,0,0.00016777894585088247,0.005848229404200495,0.02428718558391696,0.006908126315055053,0.0,,,,,,,,0.00019320666542723834,5.5725302273625195,OFI1_ev50
